Unnamed: 0,Num.,Height（ um）,Roughness （nm）,Length,Wideth,Adhesion (pN),Elastic modulus,Aspect Ratio,Unnamed: 9,Unnamed: 10
,1,1.588,217.2,100.4,31.92,624.2,9.883,3.1453634085213,,
,,1.603,202.2,99.95,33.45,623.0,10.2,2.98804185351271,,
,,1.576,206.0,99.25,32.98,624.9,10.1,3.00939963614312,,
,,1.604,192.4,99.86,33.29,623.6,9.979,2.99969960949234,,
,,1.598,202.2,99.37,33.36,624.2,10.19,2.9787170263789,,
,,1.57,186.2,100.2,33.22,617.2,10.06,3.0162552679109,,
,,1.603,204.2,100.5,32.94,618.7,10.39,3.05100182149362,,
,,1.54,210.4,99.41,32.97,628.7,10.7,3.01516530178951,,
,,1.532,223.0,99.58,33.62,624.6,10.31,2.96192742415229,,
,,1.627,202.3,98.79,33.11,621.6,10.95,2.98369072787677,,
,,1.614,209.4,98.19,32.95,621.4,10.64,2.97996965098634,,
,,1.488,210.8,99.36,32.79,624.3,10.47,3.03019213174748,,
,,1.383,211.2,98.12,33.28,623.0,10.2,2.94831730769231,,
,,1.378,202.0,100.3,33.11,631.6,10.78,3.02929628511024,,
,,1.241,211.3,97.98,33.96,625.3,10.05,2.88515901060071,,
,,1.448,185.2,98.34,32.63,623.0,10.27,3.01379098988661,,
,,1.587,188.0,99.17,33.97,619.6,10.38,2.91934059464233,,
,,1.578,202.5,99.58,32.94,624.0,10.57,3.02307225258045,,
,,1.623,195.4,99.73,33.28,621.3,10.19,2.99669471153846,,
,,1.499,201.2,98.68,32.61,625.3,10.86,3.02606562404171,,
,2,4.0,249.8,104.4,44.25,651.9,8.464,2.35932203389831,,
,,3.841,286.9,104.5,44.69,646.9,7.892,2.33833072275677,,
,,3.917,247.9,104.6,43.97,641.5,8.113,2.37889470093245,,
,,3.96,246.4,103.6,44.18,642.9,8.751,2.34495246717972,,
,,3.755,233.5,103.9,44.73,640.2,8.715,2.3228258439526,,
,,3.704,271.4,103.7,44.77,646.8,8.06,2.31628322537413,,
,,3.833,206.5,102.5,45.17,648.6,9.775,2.26920522470666,,
,,3.96,208.4,104.7,44.43,638.2,9.185,2.35651586765699,,
,,3.208,188.3,103.9,44.4,644.2,9.244,2.34009009009009,,
,,4.02,183.7,103.8,44.41,642.0,9.715,2.33731141634767,,
,,3.917,203.6,103.4,44.86,641.2,9.21,2.30494872938029,,
,,3.562,183.7,105.1,45.76,642.0,9.535,2.29676573426573,,
,,3.303,255.1,103.2,44.54,641.6,8.888,2.3170184104176,,
,,3.719,226.4,104.7,44.62,642.9,8.666,2.34648139847602,,
,,3.646,243.3,105.0,44.3,640.2,9.773,2.37020316027088,,
,,4.007,235.1,103.8,44.71,646.7,9.775,2.32162827108029,,
,,3.995,261.8,106.5,44.54,641.5,9.185,2.39110911540189,,
,,3.769,254.0,106.0,45.02,646.7,9.244,2.35450910706353,,
,,3.908,224.6,105.4,44.79,638.0,9.185,2.35320384014289,,
,,4.02,261.8,105.8,44.85,643.3,9.836,2.35897435897436,,
,3,4.33,169.13,88.38,92.08,590.0,7.714,0.959817549956559,,
,,4.224,186.49,88.53,92.91,590.7,7.189,0.952857604133032,,
,,4.127,189.47,88.56,92.29,593.5,6.877,0.959583920251382,,
,,3.959,193.01,88.54,91.44,591.5,7.868,0.968285214348207,,
,,4.179,186.71,88.39,92.37,591.1,7.338,0.956912417451554,,
,,4.2,172.16,88.45,92.13,587.4,7.82,0.960056441984153,,
,,3.98,167.33,88.53,91.87,584.7,7.702,0.963644279960814,,
,,3.988,176.35,88.37,92.34,586.1,7.894,0.957006714316656,,
,,4.235,185.81,88.91,92.24,594.4,7.663,0.963898525585429,,
,,4.12,189.11,88.86,91.98,591.5,7.03,0.966079582517939,,
,,3.702,196.18,89.14,91.17,592.7,7.416,0.977733903696391,,
,,3.585,203.2,89.08,91.07,592.2,6.596,0.97814867684199,,
,,4.333,200.4,89.38,91.91,592.7,6.71,0.972473071482972,,
,,4.227,181.17,88.87,91.41,591.8,7.256,0.972213105787113,,
,,4.364,192.04,89.78,91.23,590.7,6.079,0.984106105447769,,
,,4.318,160.51,88.25,91.16,590.0,7.894,0.968078104431768,,
,,4.298,157.91,89.02,91.91,595.2,6.573,0.968556196278968,,
,,4.151,171.18,89.07,92.49,588.5,7.416,0.963023029516704,,
,,3.783,171.86,89.96,90.76,592.6,6.669,0.99118554429264,,
,,4.381,157.91,88.96,91.37,587.2,7.497,0.973623727700558,,
,4,3.162,160.6,77.34,35.03,727.6,6.156,2.20782186697117,,
,,3.218,164.9,77.01,34.85,727.9,6.331,2.20975609756098,,
,,2.922,207.0,76.96,35.36,731.9,6.398,2.17647058823529,,
