Unnamed: 0,Num.,Height（ um）,Roughness （nm）,Length,Wideth,Adhesion (pN),Elastic modulus,Aspect Ratio
,1,3.429,78.26,69.68,28.48,452.9,3.294,2.4466292134831464
,,3.372,84.8,69.81,28.43,452.5,2.453,2.4555047485051005
,,3.297,112.7,69.46,27.23,454.8,3.33,2.550863018729342
,,3.398,90.45,69.96,26.94,453.2,3.35,2.5968819599109128
,,3.391,76.28,70.15,26.08,456.3,3.04,2.689800613496933
,,3.43,77.91,69.72,26.74,454.9,3.74,2.607329842931937
,,3.416,84.8,69.84,27.07,453.9,3.04,2.5799778352419653
,,3.41,121.1,70.26,27.96,456.7,3.0,2.5128755364806867
,,3.341,92.92,70.04,27.66,452.5,2.77,2.532176428054953
,,3.295,78.63,69.58,26.29,453.9,3.08,2.6466337010270067
,,3.388,102.7,69.3,28.27,455.0,2.76,2.45136186770428
,,3.398,103.0,69.06,28.22,460.9,2.62,2.4472005669737777
,,3.43,107.1,68.94,28.62,464.2,3.1,2.4088050314465406
,,3.427,154.7,69.0,28.6,454.1,3.68,2.4125874125874125
,,3.348,105.5,69.27,28.76,454.9,3.69,2.4085535465924894
,,3.415,105.1,70.43,27.68,462.7,2.77,2.5444364161849715
,,3.416,99.34,69.97,28.1,474.4,3.0,2.4900355871886117
,,3.427,115.7,68.88,27.67,458.2,3.38,2.48933863389953
,,3.41,92.14,69.1,27.01,465.6,3.64,2.558311736393928
,,3.427,123.4,68.93,27.6,463.5,3.35,2.497463768115942
,2,3.321,100.2,102.7,24.82,514.6,3.047,4.137792103142627
,,3.341,123.8,102.3,24.95,526.1,3.026,4.1002004008016035
,,3.395,126.4,101.9,24.34,515.8,3.154,4.186524239934265
,,3.352,131.5,102.5,24.21,520.9,3.127,4.233787691036762
,,3.341,121.0,102.3,24.39,515.4,3.1,4.194341943419434
,,3.401,136.9,102.1,24.78,512.4,3.024,4.120258272800645
,,3.325,156.1,100.3,24.47,528.7,2.958,4.0988966080915405
,,3.321,131.5,100.8,24.77,525.4,2.997,4.069438837303189
,,3.284,112.0,101.6,24.64,505.9,2.987,4.123376623376623
,,3.346,107.2,103.6,24.21,507.8,3.059,4.279223461379595
,,3.321,124.8,102.8,24.47,531.4,3.105,4.201062525541479
,,3.253,141.4,103.4,24.39,511.7,3.175,4.2394423944239445
,,3.272,123.4,102.4,34.31,532.5,3.137,2.9845526085689302
,,3.346,115.6,102.8,24.03,516.8,2.893,4.277985851019559
,,3.406,115.9,103.0,24.34,517.6,2.987,4.231717337715694
,,3.395,94.2,101.4,24.15,515.8,2.997,4.198757763975156
,,3.376,144.8,101.8,24.45,501.5,2.827,4.16359918200409
,,3.253,115.9,102.6,24.75,512.1,3.118,4.1454545454545455
,,3.208,131.1,101.6,24.03,535.2,3.072,4.228048272992093
,,3.127,107.2,102.1,24.77,506.2,3.058,4.121921679450948
,3,2.32,111.3,96.54,36.02,517.1,2.623,2.6801776790671847
,,2.259,141.6,96.68,35.85,507.1,2.856,2.696792189679219
,,2.257,124.4,97.14,36.14,515.5,1.99,2.687880464858882
,,2.309,114.1,96.92,35.88,522.0,2.353,2.701226309921962
,,2.282,111.3,96.69,35.73,509.7,2.501,2.7061293031066334
,,2.278,132.2,96.47,35.27,509.8,2.327,2.7351857102353274
,,2.324,147.2,96.47,35.78,512.2,1.859,2.6961989938513136
,,2.325,124.6,96.45,36.67,518.5,2.104,2.630215434960458
,,2.32,142.2,96.44,37.2,522.4,2.353,2.5924731182795697
,,2.309,120.2,96.22,36.54,526.0,2.276,2.6332785987958403
,,2.325,135.1,96.71,36.81,528.3,2.375,2.6272751969573482
,,2.305,121.2,96.94,36.24,531.1,2.683,2.6749448123620305
,,2.324,124.6,95.04,36.33,515.3,2.163,2.6160198183319574
,,2.302,106.8,95.98,35.88,508.9,2.161,2.6750278706800446
,,2.309,108.8,95.48,35.62,539.4,2.273,2.6805165637282427
,,2.228,109.6,95.49,36.64,525.8,2.358,2.6061681222707422
,,2.256,119.0,95.61,36.47,515.3,2.375,2.6216068001096793
,,2.305,138.6,95.37,36.3,555.0,1.974,2.6272727272727274
,,2.371,109.3,96.11,35.2,508.5,1.99,2.730397727272727
,,2.334,104.7,96.55,36.1,509.3,2.421,2.6745152354570636
,4,2.929,116.7,76.65,23.21,524.0,2.459,3.3024558380008617
,,2.928,96.4,76.94,23.8,521.4,2.426,3.232773109243697
,,2.88,123.2,76.91,24.0,537.3,2.381,3.2045833333333333
,,2.929,98.7,76.97,23.27,515.5,2.449,3.3076923076923075
,,2.936,95.8,77.39,23.76,521.9,2.515,3.257154882154882
,,2.942,105.0,77.03,23.68,533.9,2.671,3.252956081081081
,,2.925,82.6,76.62,23.95,520.5,2.569,3.1991649269311067
,,2.941,73.8,76.83,23.74,517.3,2.598,3.2363100252737995
,,2.928,128.4,77.01,23.58,520.8,2.798,3.265903307888041
,,2.946,100.6,77.12,23.95,519.0,2.896,3.220041753653445
,,2.925,127.1,77.51,24.32,518.6,2.961,3.187088815789474
,,2.932,149.3,77.24,23.9,537.4,2.68,3.2317991631799163
,,2.946,123.2,77.28,24.41,531.3,2.598,3.165915608357231
,,2.929,61.3,77.64,24.69,520.5,2.557,3.1445929526123937
,,2.905,168.4,77.34,24.53,522.1,2.577,3.152874031797799
,,2.83,187.6,77.34,24.25,519.4,2.458,3.189278350515464
