height,roughness,length,wideth,adhesion,elastic_modulus,cycle,aging_score,cell_id
3.429,78.26,69.68,28.48,452.9,3.294,P4,0.0,0
3.372,84.8,69.81,28.43,452.5,2.453,P4,0.0,0
3.297,112.7,69.46,27.23,454.8,3.33,P4,0.0,0
3.398,90.45,69.96,26.94,453.2,3.35,P4,0.0,0
3.391,76.28,70.15,26.08,456.3,3.04,P4,0.0,0
3.43,77.91,69.72,26.74,454.9,3.74,P4,0.0,0
3.416,84.8,69.84,27.07,453.9,3.04,P4,0.0,0
3.41,121.1,70.26,27.96,456.7,3.0,P4,0.0,0
3.341,92.92,70.04,27.66,452.5,2.77,P4,0.0,0
3.295,78.63,69.58,26.29,453.9,3.08,P4,0.0,0
3.388,102.7,69.3,28.27,455.0,2.76,P4,0.0,0
3.398,103.0,69.06,28.22,460.9,2.62,P4,0.0,0
3.43,107.1,68.94,28.62,464.2,3.1,P4,0.0,0
3.427,154.7,69.0,28.6,454.1,3.68,P4,0.0,0
3.348,105.5,69.27,28.76,454.9,3.69,P4,0.0,0
3.415,105.1,70.43,27.68,462.7,2.77,P4,0.0,0
3.416,99.34,69.97,28.1,474.4,3.0,P4,0.0,0
3.427,115.7,68.88,27.67,458.2,3.38,P4,0.0,0
3.41,92.14,69.1,27.01,465.6,3.64,P4,0.0,0
3.427,123.4,68.93,27.6,463.5,3.35,P4,0.0,0
3.321,100.2,102.7,24.82,514.6,3.047,P4,0.0,1
3.341,123.8,102.3,24.95,526.1,3.026,P4,0.0,1
3.395,126.4,101.9,24.34,515.8,3.154,P4,0.0,1
3.352,131.5,102.5,24.21,520.9,3.127,P4,0.0,1
3.341,121.0,102.3,24.39,515.4,3.1,P4,0.0,1
3.401,136.9,102.1,24.78,512.4,3.024,P4,0.0,1
3.325,156.1,100.3,24.47,528.7,2.958,P4,0.0,1
3.321,131.5,100.8,24.77,525.4,2.997,P4,0.0,1
3.284,112.0,101.6,24.64,505.9,2.987,P4,0.0,1
3.346,107.2,103.6,24.21,507.8,3.059,P4,0.0,1
3.321,124.8,102.8,24.47,531.4,3.105,P4,0.0,1
3.253,141.4,103.4,24.39,511.7,3.175,P4,0.0,1
3.272,123.4,102.4,34.31,532.5,3.137,P4,0.0,1
3.346,115.6,102.8,24.03,516.8,2.893,P4,0.0,1
3.406,115.9,103.0,24.34,517.6,2.987,P4,0.0,1
3.395,94.2,101.4,24.15,515.8,2.997,P4,0.0,1
3.376,144.8,101.8,24.45,501.5,2.827,P4,0.0,1
3.253,115.9,102.6,24.75,512.1,3.118,P4,0.0,1
3.208,131.1,101.6,24.03,535.2,3.072,P4,0.0,1
3.127,107.2,102.1,24.77,506.2,3.058,P4,0.0,1
2.32,111.3,96.54,36.02,517.1,2.623,P4,0.0,2
2.259,141.6,96.68,35.85,507.1,2.856,P4,0.0,2
2.257,124.4,97.14,36.14,515.5,1.99,P4,0.0,2
2.309,114.1,96.92,35.88,522.0,2.353,P4,0.0,2
2.282,111.3,96.69,35.73,509.7,2.501,P4,0.0,2
2.278,132.2,96.47,35.27,509.8,2.327,P4,0.0,2
2.324,147.2,96.47,35.78,512.2,1.859,P4,0.0,2
2.325,124.6,96.45,36.67,518.5,2.104,P4,0.0,2
2.32,142.2,96.44,37.2,522.4,2.353,P4,0.0,2
2.309,120.2,96.22,36.54,526.0,2.276,P4,0.0,2
2.325,135.1,96.71,36.81,528.3,2.375,P4,0.0,2
2.305,121.2,96.94,36.24,531.1,2.683,P4,0.0,2
2.324,124.6,95.04,36.33,515.3,2.163,P4,0.0,2
2.302,106.8,95.98,35.88,508.9,2.161,P4,0.0,2
2.309,108.8,95.48,35.62,539.4,2.273,P4,0.0,2
2.228,109.6,95.49,36.64,525.8,2.358,P4,0.0,2
2.256,119.0,95.61,36.47,515.3,2.375,P4,0.0,2
2.305,138.6,95.37,36.3,555.0,1.974,P4,0.0,2
2.371,109.3,96.11,35.2,508.5,1.99,P4,0.0,2
2.334,104.7,96.55,36.1,509.3,2.421,P4,0.0,2
2.929,116.7,76.65,23.21,524.0,2.459,P4,0.0,3
2.928,96.4,76.94,23.8,521.4,2.426,P4,0.0,3
2.88,123.2,76.91,24.0,537.3,2.381,P4,0.0,3
2.929,98.7,76.97,23.27,515.5,2.449,P4,0.0,3
2.936,95.8,77.39,23.76,521.9,2.515,P4,0.0,3
